Street Address,Unit #,Latitude,Longitude,Sold Price ($),Sold Date,SqFt,Price/SqFt ($),Property Type,Beds,Baths,Distance (mi),URL
2027 Market St APT 7,Apt 7,37.768368,-122.42749,950000.0,2025-08-29,1043.0,910.83,CONDO,2.0,2.0,0.13,https://www.zillow.com/homedetails/2027-Market-St-APT-7-San-Francisco-CA-94114/15142762_zpid/
350 Church St APT B,Apt B,37.76523,-122.42892,850000.0,2025-04-18,1050.0,809.52,CONDO,2.0,1.0,0.14,https://www.zillow.com/homedetails/350-Church-St-APT-B-San-Francisco-CA-94114/2069855862_zpid/
350B Church St,,37.76506,-122.42908,850000.0,2025-04-18,1050.0,809.52,CONDO,1.0,1.0,0.15,https://www.zillow.com/homedetails/350B-Church-St-San-Francisco-CA-94114/15143525_zpid/
370 Church St APT G,Apt G,37.764942,-122.42893,1265000.0,2026-01-07,1247.0,1014.43,CONDO,2.0,2.0,0.15,https://www.zillow.com/homedetails/370-Church-St-APT-G-San-Francisco-CA-94114/15143550_zpid/
2152 Market St APT B,Apt B,37.766872,-122.43007,1750000.0,2025-06-03,1485.0,1178.45,CONDO,3.0,2.0,0.17,https://www.zillow.com/homedetails/2152-Market-St-APT-B-San-Francisco-CA-94114/241586219_zpid/
2154 Market St APT A,Apt A,37.76693,-122.430145,1330000.0,2025-05-14,1097.0,1212.4,CONDO,2.0,1.0,0.17,https://www.zillow.com/homedetails/2154-Market-St-APT-A-San-Francisco-CA-94114/241586221_zpid/
2057 15th St APT C,Apt C,37.76582,-122.43022,1100000.0,2025-06-17,1384.0,794.8,SINGLE_FAMILY,3.0,1.0,0.18,https://www.zillow.com/homedetails/2057-15th-St-APT-C-San-Francisco-CA-94114/2070100612_zpid/
2152 Market St APT C,Apt C,37.767025,-122.430275,1725000.0,2025-06-25,1424.0,1211.38,SINGLE_FAMILY,3.0,2.0,0.18,https://www.zillow.com/homedetails/2152-Market-St-APT-C-San-Francisco-CA-94114/241586220_zpid/
350 Dolores St,,37.76382,-122.42656,1074000.0,2025-12-12,1374.0,781.66,SINGLE_FAMILY,3.0,1.0,0.19,https://www.zillow.com/homedetails/350-Dolores-St-San-Francisco-CA-94114/450472201_zpid/
348-352 Dolores St,,37.763763,-122.42669,1074000.0,2025-12-23,4380.0,245.21,MULTI_FAMILY,9.0,4.0,0.19,https://www.zillow.com/homedetails/348-352-Dolores-St-San-Francisco-CA-94110/328606161_zpid/
209 Sanchez St,,37.765602,-122.430626,2150000.0,2025-07-22,1000.0,2150.0,APARTMENT,2.0,1.5,0.21,https://www.zillow.com/homedetails/209-Sanchez-St-San-Francisco-CA-94114/325645980_zpid/
223 Sanchez St,,37.765453,-122.43064,1300000.0,2025-10-06,1165.0,1115.88,CONDO,2.0,2.0,0.21,https://www.zillow.com/homedetails/223-Sanchez-St-San-Francisco-CA-94114/15143495_zpid/
380 Dolores St #6,# 6,37.763386,-122.426506,572500.0,2025-07-11,538.0,1064.13,SINGLE_FAMILY,1.0,1.0,0.22,https://www.zillow.com/homedetails/380-Dolores-St-6-San-Francisco-CA-94114/2061692494_zpid/
772-774 14th St,,37.76785,-122.43062,1200000.0,2025-08-11,3520.0,340.91,MULTI_FAMILY,4.0,3.0,0.22,https://www.zillow.com/homedetails/772-774-14th-St-San-Francisco-CA-94114/453015464_zpid/
774 14th St,,37.767857,-122.430595,1200000.0,2025-08-07,3520.0,340.91,MULTI_FAMILY,,4.0,0.22,https://www.zillow.com/homedetails/774-14th-St-San-Francisco-CA-94114/458398522_zpid/
74-78 Belcher St,,37.76804,-122.43044,1310000.0,2025-07-23,5518.0,237.4,MULTI_FAMILY,7.0,3.0,0.22,https://www.zillow.com/homedetails/74-78-Belcher-St-San-Francisco-CA-94114/452676897_zpid/
2200 Market St APT 504,Apt 504,37.765774,-122.43162,900000.0,2025-06-06,789.0,1140.68,CONDO,1.0,2.0,0.26,https://www.zillow.com/homedetails/2200-Market-St-APT-504-San-Francisco-CA-94114/124398048_zpid/
